rank,Player,Team,Pos,Age,G,GS,MP,final_score,composite_score,playing_time_factor,elo_rating,h2h_win_rate,PER,BPM,VORP,WS/48,TS%,trajectory,ringer_rank
1,Victor Wembanyama,SAS,C,22.0,12.0,12.0,416.0,20.855302084036133,1.288992910652532,0.7392,2068.7353704647885,0.9896,25.7,6.4,0.9,0.196,0.609,1.2999999999999985,5.0
2,Shai Gilgeous-Alexander,OKC,PG,27.0,18.0,18.0,595.0,20.2990001377179,3.6365852494523256,0.96,1940.425876872746,0.9130799999999999,33.5,13.6,2.3,0.388,0.671,2.6,2.0
3,Paul Reed,DET,C,26.0,14.0,2.0,168.0,19.949528239888938,0.4622667790880445,0.3,2082.2351210873767,0.9632133333333331,25.7,6.0,0.3,0.249,0.72,0.2899999999999997,
4,Giannis Antetokounmpo,MIL,PF,31.0,13.0,13.0,414.0,19.8826453771736,2.1945301941197433,0.7567999999999999,1961.5712836815683,0.9285066666666667,34.7,11.3,1.4,0.271,0.662,-0.45999999999999946,3.0
5,Nikola Jokić,DEN,C,30.0,17.0,17.0,592.0,19.419136877266652,4.472642337897232,0.94,1878.3426090332391,0.85984,36.7,18.2,3.0,0.412,0.729,-0.1000000000000006,
6,Luka Dončić,LAL,PG,26.0,12.0,12.0,445.0,18.88361703282677,1.8135073410697757,0.774,1907.3461274236818,0.8865333333333333,28.4,9.4,1.3,0.222,0.612,-0.35000000000000037,
7,Scottie Barnes,TOR,PF,24.0,18.0,18.0,593.0,18.83137383003519,1.2746971363511466,0.96,1919.2641806917013,0.8917333333333333,20.7,4.6,1.0,0.168,0.589,0.7799999999999998,31.0
8,Isaiah Stewart,DET,C,24.0,14.0,5.0,320.0,18.72624616740555,0.2095561525182206,0.484,2022.2444559925348,0.9056533333333334,16.8,1.1,0.2,0.157,0.614,1.1499999999999997,
9,Robert Williams,POR,C,28.0,11.0,0.0,144.0,18.64237517845424,0.2572666744408157,0.3,2009.5793229053309,0.9060533333333335,21.4,3.8,0.2,0.189,0.657,-1.0099999999999996,
10,Kristaps Porziņģis,ATL,C,30.0,11.0,11.0,295.0,18.59053524617888,0.7045638995960479,0.5740000000000001,1934.4700843162589,0.8920666666666667,22.2,5.0,0.5,0.203,0.607,0.3200000000000002,
11,Alex Sarr,WAS,C,20.0,14.0,14.0,404.0,18.46827693830453,0.33386156374545795,0.7647999999999999,1971.7099120272055,0.8937333333333332,20.5,1.5,0.4,0.055,0.564,0.0,86.0
12,Branden Carlson,OKC,C,26.0,13.0,0.0,109.0,17.985146088630653,0.0739027958070588,0.3,2013.0784441764172,0.8742933333333334,16.0,0.0,0.1,0.173,0.567,0.0,
13,Anthony Edwards,MIN,SG,24.0,13.0,13.0,420.0,17.745369218646264,1.112004177263462,0.764,1861.2894903180504,0.8404133333333333,23.8,5.7,0.8,0.173,0.609,1.1599999999999997,6.0
14,Chet Holmgren,OKC,PF,23.0,14.0,14.0,412.0,17.59182005848814,0.8048323517885406,0.7744,1864.6590761688096,0.8442400000000001,19.9,2.8,0.5,0.198,0.663,-1.0000000000000002,27.0
15,Stephen Curry,GSW,PG,37.0,15.0,15.0,464.0,17.266663146952833,1.4208005545594729,0.8568,1830.6125362673654,0.8137599999999998,24.1,6.5,1.0,0.162,0.648,-0.08000000000000015,7.0
16,Derrick White,BOS,SG,31.0,17.0,17.0,562.0,17.01403249496697,0.2844199062771299,0.94,1875.9908533833468,0.8208266666666668,14.9,1.6,0.5,0.089,0.474,0.9199999999999998,45.0
17,Tyrese Maxey,PHI,PG,25.0,16.0,16.0,647.0,16.96123774679348,1.8795517607108658,0.92,1804.2158964677085,0.7877466666666666,24.4,7.3,1.5,0.207,0.615,0.6699999999999999,15.0
18,Goga Bitadze,ORL,C,26.0,17.0,0.0,285.0,16.758229551842177,0.48466036174870497,0.34199999999999997,1834.2803163258527,0.8038933333333332,20.5,5.2,0.5,0.24,0.778,1.1699999999999997,
19,Myles Turner,MIL,C,29.0,18.0,18.0,540.0,16.6961827181324,0.09501378297603051,0.96,1914.1880211799448,0.8116266666666666,14.4,-0.1,0.3,0.084,0.579,-0.4199999999999997,68.0
20,Kel'el Ware,MIA,C,21.0,18.0,14.0,449.0,16.586578064671002,0.7203798882262993,0.8188,1814.9690402020756,0.7937466666666665,20.4,2.4,0.5,0.201,0.611,0.0,
21,Ryan Kalkbrenner,CHO,C,24.0,15.0,15.0,382.0,16.46840704676936,0.4491826289131551,0.7584,1828.2885508746979,0.7931066666666667,18.6,0.5,0.2,0.147,0.814,0.0,
22,Evan Mobley,CLE,PF,24.0,18.0,18.0,615.0,16.28042764591673,0.6048032526063317,0.96,1802.1700494608567,0.7776,17.6,1.9,0.6,0.114,0.572,1.32,16.0
23,Cade Cunningham,DET,PG,24.0,14.0,14.0,509.0,16.12545893379315,0.9372180492592396,0.8799999999999999,1785.7359175262145,0.7623200000000002,21.3,3.9,0.7,0.158,0.545,1.7499999999999998,10.0
24,Jonas Valančiūnas,DEN,C,33.0,17.0,0.0,213.0,16.0481349433251,0.122072742033849,0.3,1863.4536279066815,0.7788,21.4,-0.7,0.1,0.167,0.606,-0.2300000000000001,
25,Daniel Gafford,DAL,C,27.0,13.0,12.0,312.0,15.982554148476465,0.3445259956957964,0.6144000000000001,1804.6160722777747,0.7691333333333333,17.7,0.8,0.2,0.178,0.667,0.8199999999999998,
26,Neemias Queta,BOS,C,26.0,17.0,17.0,402.0,15.793403919551633,0.6175498340124843,0.8224,1775.502796914159,0.75208,19.7,1.5,0.4,0.202,0.633,1.8100000000000003,
27,Mikal Bridges,NYK,SF,29.0,16.0,16.0,563.0,15.614469909348534,1.3008978556805344,0.92,1758.1890017556664,0.7362933333333332,18.7,5.5,1.1,0.186,0.629,-0.84,56.0
28,Donovan Mitchell,CLE,SG,29.0,17.0,17.0,578.0,15.594985171410332,1.814632046491587,0.94,1745.5672263444078,0.7236666666666667,24.4,7.1,1.3,0.19,0.643,-0.22999999999999998,8.0
29,Jalen Duren,DET,C,22.0,15.0,15.0,434.0,15.465974672489859,1.3374229035268168,0.8208,1748.1664760534313,0.7212799999999999,27.1,4.1,0.7,0.273,0.714,1.9499999999999993,43.0
30,Jalen Suggs,ORL,PG,24.0,13.0,13.0,311.0,15.293581373786742,0.6512073098596296,0.6332,1753.279070755251,0.7262,19.3,3.8,0.5,0.152,0.68,2.0,65.0
31,Donovan Clingan,POR,C,21.0,18.0,18.0,457.0,15.248145541471892,0.5433302556759583,0.9084000000000001,1758.343310863609,0.7310266666666666,20.0,1.4,0.4,0.18,0.584,0.0,
32,Naz Reid,MIN,C,26.0,17.0,0.0,416.0,14.895915257148742,0.1280908494337105,0.4992,1789.9096458939525,0.7200266666666667,16.0,0.4,0.3,0.108,0.56,0.5300000000000001,76.0
33,Alperen Şengün,HOU,C,23.0,15.0,15.0,551.0,14.876654699302646,1.3127836688502532,0.9,1722.1767075537625,0.69256,21.3,5.8,1.0,0.187,0.576,1.9700000000000002,
34,Karl-Anthony Towns,NYK,C,30.0,16.0,16.0,535.0,14.766728314238636,0.8671395971052535,0.92,1733.3106088422787,0.7019466666666667,21.5,2.4,0.6,0.176,0.589,-0.47000000000000003,21.0
35,Jaylen Brown,BOS,SF,29.0,17.0,17.0,551.0,14.663179173614843,0.930808906902974,0.94,1725.8097608013568,0.6961333333333335,22.1,2.8,0.7,0.124,0.59,-0.6900000000000002,13.0
36,James Harden,LAC,PG,36.0,16.0,16.0,568.0,14.59146918963121,1.6745645463479488,0.92,1707.0430189658443,0.6762666666666667,25.0,6.7,1.2,0.186,0.643,-0.04000000000000008,22.0
37,Clint Capela,HOU,C,31.0,14.0,0.0,139.0,14.51685660214926,0.18555463162703165,0.3,1763.434640707639,0.7043333333333333,20.9,1.7,0.1,0.222,0.632,-1.1099999999999999,
38,Nic Claxton,BRK,C,26.0,17.0,17.0,504.0,14.260940250658692,0.7635658961319515,0.94,1712.4881094539069,0.6783466666666667,20.2,2.5,0.6,0.145,0.606,-0.21999999999999975,
39,Ausar Thompson,DET,SF,23.0,13.0,12.0,373.0,14.12010847642466,0.24302101153410285,0.6876,1725.2860220472153,0.6712666666666667,15.8,1.4,0.3,0.128,0.537,3.9,70.0
40,Nae'Qwan Tomlin,CLE,PF,25.0,10.0,1.0,161.0,14.10127927113763,0.052472094538787685,0.3,1797.8161428090518,0.68304,15.5,-0.2,0.1,0.152,0.582,0.0,
41,Jarrett Allen,CLE,C,27.0,14.0,14.0,364.0,14.005821221229617,0.5707023890999885,0.7167999999999999,1705.886852526947,0.6686,20.8,1.9,0.4,0.177,0.627,0.14999999999999963,59.0
42,Mark Williams,PHO,C,24.0,15.0,12.0,381.0,13.985073135855735,0.6011935862685095,0.6972,1703.4101486356915,0.6631066666666667,21.5,1.6,0.3,0.229,0.68,1.6999999999999995,
43,Ajay Mitchell,OKC,SG,23.0,18.0,5.0,499.0,13.940403774925969,0.45089282723227175,0.6988,1711.0570458559635,0.66804,17.7,1.6,0.4,0.165,0.565,0.0,83.0
44,OG Anunoby,NYK,PF,28.0,12.0,12.0,373.0,13.694725707080856,0.3649860381531644,0.6876,1703.134107798241,0.6576666666666666,16.3,2.2,0.4,0.118,0.601,-0.04000000000000004,42.0
45,Reed Sheppard,HOU,PG,21.0,15.0,1.0,362.0,13.655531913730448,0.6121074275203232,0.45439999999999997,1692.6668973813673,0.6507866666666666,18.8,6.2,0.7,0.203,0.638,0.0,
46,Paolo Banchero,ORL,PF,23.0,12.0,12.0,393.0,13.654644489304928,0.5254266812595291,0.7116,1691.4592148619129,0.64624,19.0,2.5,0.5,0.125,0.573,2.4999999999999996,28.0
47,Alex Caruso,OKC,SG,31.0,13.0,0.0,237.0,13.626844662842023,0.17202796875491058,0.3,1718.429180028823,0.6546533333333333,14.3,3.3,0.3,0.165,0.539,1.2799999999999998,63.0
48,Derrick Jones Jr.,LAC,SF,28.0,13.0,13.0,324.0,13.612563643423583,0.12116719055993126,0.6488,1739.7004308554708,0.6577333333333333,14.7,0.4,0.2,0.101,0.652,0.07000000000000002,
49,Dillon Brooks,PHO,SF,30.0,12.0,12.0,369.0,13.419430251690171,0.15632973280332615,0.6828,1713.4215367235915,0.64748,16.7,0.0,0.2,0.097,0.575,0.14999999999999966,78.0
50,Santi Aldama,MEM,PF,25.0,18.0,2.0,479.0,13.275934470769561,0.30789792457190635,0.6148,1685.0370040319815,0.63148,16.9,2.3,0.5,0.094,0.545,2.5999999999999996,
51,Jalen Johnson,ATL,SF,24.0,16.0,16.0,546.0,12.98263193114096,1.5512690474789868,0.92,1648.2470520687057,0.5936266666666666,23.3,5.8,1.1,0.197,0.646,2.1000000000000005,23.0
52,Nickeil Alexander-Walker,ATL,SG,27.0,16.0,13.0,509.0,12.843748178506832,0.19454917507516029,0.86,1682.2650363290097,0.61652,16.0,0.0,0.3,0.095,0.598,0.8600000000000001,
53,Isaiah Hartenstein,OKC,C,27.0,18.0,18.0,500.0,12.801726036159465,1.3851476323995624,0.96,1649.8584994270386,0.5931599999999999,21.2,4.0,0.8,0.253,0.685,-0.010000000000000325,62.0
54,Jaden McDaniels,MIN,PF,25.0,16.0,16.0,513.0,12.756593951797191,0.2930480061767682,0.92,1669.4632113992084,0.6106666666666667,15.6,0.1,0.3,0.123,0.628,0.73,50.0
55,Bam Adebayo,MIA,C,28.0,12.0,12.0,363.0,12.594119837773642,0.41621479405773626,0.6756,1661.716800645206,0.60312,17.7,2.5,0.4,0.125,0.568,-0.45000000000000007,30.0
56,Peyton Watson,DEN,SF,23.0,17.0,7.0,435.0,12.575402261311497,0.05543616447425785,0.662,1714.1191236648112,0.6064133333333335,13.4,-0.2,0.2,0.107,0.605,0.5000000000000001,
57,Moussa Diabaté,CHO,C,24.0,17.0,1.0,394.0,12.551416683862707,0.366795928427455,0.4928,1656.2784821073915,0.5997866666666666,21.7,1.2,0.3,0.208,0.688,0.4500000000000012,
58,Brandon Ingram,TOR,SF,28.0,18.0,18.0,602.0,12.502887766812881,0.2481681722401422,0.96,1667.8021339292548,0.6025733333333333,16.7,0.0,0.3,0.09,0.585,-0.7399999999999999,55.0
59,LaMelo Ball,CHO,PG,24.0,10.0,10.0,307.0,12.267352076356628,0.1611352290723984,0.5684,1667.7056488328715,0.5906133333333332,19.4,0.9,0.2,0.088,0.519,0.030000000000000224,49.0
60,Stephon Castle,SAS,PG,21.0,13.0,13.0,416.0,12.231408124087464,0.3197726393331962,0.7592,1649.2817215179357,0.5859333333333333,17.5,0.8,0.3,0.121,0.585,0.0,66.0
61,Pascal Siakam,IND,PF,31.0,16.0,16.0,562.0,12.203317160574596,0.6172749342262311,0.92,1643.7450866461504,0.5802933333333333,19.2,2.5,0.6,0.091,0.565,-0.6599999999999999,25.0
62,Craig Porter Jr.,CLE,PG,25.0,17.0,0.0,295.0,12.187539162295428,0.26367033972427045,0.354,1648.3043988816505,0.5833733333333333,16.1,3.9,0.4,0.156,0.617,0.5999999999999999,
63,Jimmy Butler,GSW,SF,36.0,17.0,17.0,532.0,12.128440537046185,1.7397675549194114,0.94,1623.5722074789303,0.55476,24.5,6.1,1.1,0.263,0.662,-0.8299999999999997,24.0
64,Jalen Smith,CHI,C,25.0,17.0,0.0,290.0,12.09417581144434,0.13918902224136825,0.348,1660.8580109191043,0.5803733333333333,19.2,1.0,0.2,0.125,0.608,0.8699999999999997,
65,Deni Avdija,POR,SF,25.0,18.0,18.0,605.0,12.024561421808032,0.9523383200550208,0.96,1628.1118305115265,0.5599866666666666,19.6,3.3,0.8,0.134,0.612,1.2799999999999998,40.0
66,Norman Powell,MIA,SG,32.0,14.0,14.0,427.0,12.010869026867288,1.1113668851634106,0.7924,1624.09545486539,0.5582933333333333,21.4,5.2,0.8,0.183,0.658,0.42999999999999994,
67,Onyeka Okongwu,ATL,C,25.0,17.0,7.0,504.0,11.98586603848172,0.34017090366643277,0.74,1638.9900443506344,0.5732933333333333,17.3,0.6,0.3,0.143,0.635,0.029999999999999954,87.0
68,Kevin Durant,HOU,SF,37.0,14.0,14.0,505.0,11.9668154548967,0.5415796149241087,0.8799999999999999,1638.0726096873907,0.5721733333333333,18.0,1.3,0.4,0.155,0.608,-1.51,11.0
69,Lauri Markkanen,UTA,PF,28.0,17.0,17.0,605.0,11.893360191139584,1.081499616946679,0.94,1622.8300472610515,0.55468,21.8,3.8,0.9,0.152,0.612,-0.22999999999999934,26.0
70,Devin Booker,PHO,SG,29.0,18.0,18.0,640.0,11.819089202745655,0.6070635920127321,0.96,1626.9875683166968,0.5629066666666667,19.3,1.1,0.5,0.134,0.592,-1.2299999999999995,12.0
71,Marvin Bagley III,WAS,PF,26.0,14.0,1.0,221.0,11.679061601053355,0.1107920324671667,0.3,1657.1919488563797,0.5614533333333332,19.4,0.5,0.1,0.123,0.676,0.38000000000000006,
72,Ryan Dunn,PHO,SF,23.0,16.0,11.0,385.0,11.196831344043204,0.0805250032786003,0.6819999999999999,1639.23432599327,0.5391066666666666,13.8,0.4,0.2,0.121,0.56,0.0,
73,Austin Reaves,LAL,SG,27.0,13.0,13.0,473.0,11.059309816182452,1.1457689092947987,0.8276,1590.438224848001,0.50872,23.1,4.4,0.8,0.2,0.641,1.1099999999999999,32.0
74,Dru Smith,MIA,SG,28.0,18.0,0.0,306.0,10.931288960921142,0.2141497280111987,0.36719999999999997,1603.2674416428576,0.5198266666666665,14.9,3.1,0.4,0.135,0.558,1.5,
75,Ryan Rollins,MIL,PG,23.0,18.0,17.0,569.0,10.907604170638004,0.3643213905357186,0.94,1587.0383475302071,0.5014533333333333,17.7,0.6,0.4,0.098,0.597,7.250000000000001,82.0
76,Karlo Matković,NOP,PF,24.0,12.0,0.0,137.0,10.876066106068393,0.12832846214266047,0.3,1619.148805191399,0.5223466666666667,17.8,1.2,0.1,0.126,0.728,0.0,
77,Quinten Post,GSW,PF,25.0,19.0,8.0,297.0,10.835256231981365,0.04414779989219045,0.5164,1642.2733372478126,0.52172,13.6,0.3,0.2,0.094,0.578,0.0,
78,Julius Randle,MIN,PF,31.0,17.0,17.0,569.0,10.657006889496056,1.4323287250614039,0.94,1577.1802834492694,0.4856533333333332,23.0,4.8,1.0,0.209,0.632,0.06000000000000025,33.0
79,Pat Spencer,GSW,PG,29.0,11.0,0.0,145.0,10.565123530907403,-0.062191172731492675,0.3,,,13.7,-0.8,0.0,0.093,0.474,4.800000000000002,
80,Brice Sensabaugh,UTA,SF,22.0,16.0,0.0,242.0,10.514723581641874,-0.12569104589531435,0.3,,,13.2,-2.7,0.0,0.045,0.567,4.299999999999999,
81,Vince Williams Jr.,MEM,SG,25.0,13.0,5.0,275.0,10.494070487397364,0.0039262184934082366,0.43000000000000005,,,13.0,1.1,0.2,0.052,0.506,2.850000000000002,
82,Jaylin Williams,OKC,PF,23.0,17.0,1.0,314.0,10.488314394851411,-0.02921401287147371,0.3968,,,10.6,-0.1,0.2,0.117,0.496,2.9999999999999996,
83,Tyrese Martin,BRK,SG,26.0,17.0,2.0,364.0,10.480568553831043,-0.27357861542239104,0.4768,,,12.0,-2.2,0.0,0.014,0.508,4.800000000000001,
84,Jay Huff,IND,C,27.0,17.0,2.0,273.0,10.437342590657543,-0.15664352335614243,0.36760000000000004,,,12.5,-2.0,0.0,0.039,0.507,3.0000000000000004,
85,Jake LaRavia,LAL,PF,24.0,16.0,6.0,441.0,10.436771058286629,-0.014322354283424269,0.6492,,,12.8,-0.6,0.2,0.102,0.577,1.8499999999999996,
86,Dyson Daniels,ATL,SG,22.0,18.0,18.0,594.0,10.434303650459592,0.004509126148982769,0.96,,,13.2,-0.3,0.3,0.09,0.514,1.6500000000000001,73.0
87,Day'Ron Sharpe,BRK,C,24.0,16.0,0.0,258.0,10.434016163073087,0.042540407682716136,0.3096,,,17.1,-0.8,0.1,0.079,0.667,1.3399999999999996,
88,Brandon Williams,DAL,PG,26.0,17.0,9.0,373.0,10.42115582055723,-0.24086044860692682,0.6276,,,13.2,-2.0,0.0,0.027,0.492,3.349999999999999,
89,Gradey Dick,TOR,SG,22.0,18.0,0.0,299.0,10.419265675356248,-0.10183581160937931,0.35879999999999995,,,11.8,-1.8,0.0,0.097,0.565,2.1999999999999997,
90,Jeremy Sochan,SAS,PF,22.0,10.0,0.0,175.0,10.41346020118129,-0.01634949704677963,0.3,,,12.6,-1.3,0.0,0.123,0.642,1.4000000000000008,
91,Julian Phillips,CHI,SF,22.0,16.0,0.0,132.0,10.401429801112691,-0.1589254972182732,0.3,,,10.6,-2.4,0.0,0.067,0.516,2.3000000000000003,
92,Caris LeVert,DET,SG,31.0,12.0,0.0,234.0,10.395479685776353,0.029949214440882447,0.3,,,14.8,0.1,0.1,0.104,0.607,0.6700000000000002,
93,Daniss Jenkins,DET,PG,24.0,12.0,4.0,240.0,10.39100388765394,0.1842170870605177,0.368,1593.0730835559905,0.49728,18.3,1.6,0.2,0.149,0.602,0.0,
94,Brandin Podziemski,GSW,SG,22.0,19.0,8.0,534.0,10.377909410487613,-0.030226473780967815,0.76,,,12.9,-0.8,0.2,0.096,0.565,0.7999999999999997,
95,Nikola Jović,MIA,PF,22.0,14.0,1.0,299.0,10.377301517228855,-0.16299620692786287,0.37879999999999997,,,10.3,-2.0,0.0,0.053,0.524,1.8499999999999996,
96,Shaedon Sharpe,POR,SG,22.0,14.0,14.0,400.0,10.375920331350521,-0.060199171623698554,0.76,,,16.9,-1.0,0.1,0.037,0.535,1.0000000000000002,
97,Julian Champagnie,SAS,SF,24.0,16.0,11.0,442.0,10.374535938526398,-0.06366015368400894,0.7504,,,11.4,-0.6,0.2,0.092,0.585,0.9999999999999996,
98,Duncan Robinson,DET,SF,31.0,17.0,17.0,544.0,10.369336883855102,0.03834220963775732,0.94,,,11.4,-0.4,0.2,0.127,0.632,0.07999999999999972,
99,Bones Hyland,MIN,PG,25.0,13.0,0.0,118.0,10.366360563603944,-0.04034859099013905,0.3,,,13.1,-1.5,0.0,0.106,0.596,0.6499999999999998,
100,Miles McBride,NYK,SG,25.0,13.0,4.0,318.0,10.364948560356218,-0.1588785991094543,0.4616,,,11.0,-1.4,0.1,0.07,0.518,1.5700000000000003,
101,Jabari Walker,PHI,PF,23.0,16.0,5.0,196.0,10.364089319905952,-0.29602670023511984,0.3352,,,8.9,-4.8,-0.1,0.066,0.499,2.65,
